Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,Title,Activity Statement
Statement,Data,Period,"July 1, 2026 - July 31, 2026"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Sample Account
Account Information,Data,Account,U0000000
Account Information,Data,Base Currency,USD
Cash Report,Header,Currency Summary,Currency,Total
Cash Report,Data,Ending Cash,Base Currency Summary,1500.00
Forex Balances,Header,Asset Category,Currency,Description,Quantity,Cost Price,Cost Basis in USD,Close Price,Value in USD,Unrealized P/L in USD,Code
Forex Balances,Data,Forex,USD,CAD,-100,0.72,72,0.71,-71,1,
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code
Open Positions,Data,Summary,Stocks,USD,JEPI,100,1,55.50,5550.00,57.20,5720.00,170.00,
Open Positions,Data,Summary,Stocks,USD,SCHD,50,1,78.20,3910.00,82.50,4125.00,215.00,
Open Positions,Data,Summary,Stocks,USD,CIM PRB,20,1,21.00,420.00,24.00,480.00,60.00,
Open Positions,Data,Summary,Stocks,CAD,PGDC,100,1,0.50,50.00,0.40,40.00,-10.00,
Open Positions,Total,,Stocks,CAD,,,,,50.00,,40.00,-10.00,
Open Positions,Total,,Stocks,USD,,,,,35.50,,28.40,-7.10,
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code
Open Positions,Data,Summary,Equity and Index Options,USD,AGQ 15JAN27 60 P,-1,100,7.95,-795.00,12.10,-1210.00,-415.00,
Financial Instrument Information,Header,Asset Category,Symbol,Description,Conid,Security ID,Underlying,Listing Exch,Multiplier,Type,Code
Financial Instrument Information,Data,Stocks,JEPI,JPMorgan Equity Premium Income ETF,,,JEPI,NYSE,1,ETF,
Financial Instrument Information,Data,Stocks,SCHD,Schwab U.S. Dividend Equity ETF,,,SCHD,NYSE,1,ETF,
Financial Instrument Information,Data,Stocks,CIM PRB,CIM 8 PERP PD,,,CIM PRB,NYSE,1,PUBLIC,
Financial Instrument Information,Data,Stocks,PGDC,PATAGONIA GOLD CORP,,,PGDC,VENTURE,1,COMMON,
